SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TRADED,TRADE_PHASE,TEAM_ABBREVIATION,IS_POST_TRADE,TA_BPM
22023,201142,22300015,2023-11-10,PHX vs. LAL,L,39,13,27,0.481,4,6,0.667,8,10,0.8,1,8,9,5,0,0,4,4,38,8,1,Kevin Durant,False,Pre,PHX,0,12.75
22023,201142,22300185,2023-11-12,PHX vs. OKC,L,36,7,18,0.389,3,5,0.6,11,11,1.0,0,9,9,4,1,2,3,1,28,-13,1,Kevin Durant,False,Pre,PHX,0,10.1
22023,201142,22300197,2023-11-15,PHX vs. MIN,W,35,11,15,0.733,2,2,1.0,7,7,1.0,0,6,6,6,0,1,2,3,31,27,1,Kevin Durant,False,Pre,PHX,0,11.0
22023,201142,22300035,2023-11-17,PHX @ UTA,W,33,15,22,0.682,6,8,0.75,2,2,1.0,0,9,9,9,0,0,1,1,38,-8,1,Kevin Durant,False,Pre,PHX,0,14.3
22023,201142,22300214,2023-11-19,PHX @ UTA,W,46,14,27,0.519,4,9,0.444,7,7,1.0,0,8,8,10,2,2,7,2,39,4,1,Kevin Durant,False,Pre,PHX,0,13.549999999999997
22023,201142,22300041,2023-11-21,PHX vs. POR,W,37,13,21,0.619,2,2,1.0,3,3,1.0,0,4,4,9,0,1,3,4,31,20,1,Kevin Durant,False,Pre,PHX,0,11.049999999999999
22023,201142,22300236,2023-11-22,PHX vs. GSW,W,34,7,14,0.5,3,4,0.75,15,15,1.0,0,8,8,2,0,2,6,2,32,5,1,Kevin Durant,False,Pre,PHX,0,9.899999999999999
22023,201142,22300260,2023-11-29,PHX @ TOR,L,36,11,30,0.367,2,8,0.25,6,6,1.0,0,4,4,6,1,0,1,1,30,-1,1,Kevin Durant,False,Pre,PHX,0,10.649999999999999
22023,201142,22300279,2023-12-01,PHX vs. DEN,L,36,8,25,0.32,1,3,0.333,13,13,1.0,0,4,4,11,1,3,1,2,30,-6,1,Kevin Durant,False,Pre,PHX,0,11.95
22023,201142,22300288,2023-12-02,PHX vs. MEM,W,33,10,14,0.714,2,3,0.667,5,7,0.714,0,2,2,5,1,1,2,1,27,8,1,Kevin Durant,False,Pre,PHX,0,9.1
22023,201142,22301203,2023-12-05,PHX @ LAL,L,39,12,17,0.706,4,7,0.571,3,4,0.75,0,7,7,4,0,1,5,5,31,6,1,Kevin Durant,False,Pre,PHX,0,10.0
22023,201142,22300317,2023-12-13,PHX vs. BKN,L,38,9,18,0.5,1,5,0.2,8,10,0.8,1,5,6,4,1,2,2,3,27,0,1,Kevin Durant,False,Pre,PHX,0,9.6
22023,201142,22300333,2023-12-15,PHX vs. NYK,L,36,10,21,0.476,4,9,0.444,5,7,0.714,0,3,3,6,0,0,0,1,29,-7,1,Kevin Durant,False,Pre,PHX,0,10.349999999999998
22023,201142,22300347,2023-12-17,PHX vs. WAS,W,35,11,24,0.458,0,2,0.0,6,9,0.667,3,2,5,5,1,1,2,1,28,-2,1,Kevin Durant,False,Pre,PHX,0,9.85
22023,201142,22300363,2023-12-19,PHX @ POR,L,38,16,28,0.571,1,3,0.333,7,8,0.875,0,4,4,5,2,0,5,1,40,8,1,Kevin Durant,False,Pre,PHX,0,12.549999999999999
